block,hour,blockface_hour_mean,rate
1ST AVE BETWEEN BATTERY ST AND WALL ST,8,0.11306128036638788,
1ST AVE BETWEEN BATTERY ST AND WALL ST,9,0.21228345280764635,
1ST AVE BETWEEN BATTERY ST AND WALL ST,10,0.31016776184786937,
1ST AVE BETWEEN BATTERY ST AND WALL ST,11,0.3997772301871764,
1ST AVE BETWEEN BATTERY ST AND WALL ST,12,0.45980560533651926,
1ST AVE BETWEEN BATTERY ST AND WALL ST,13,0.5122461170848267,
1ST AVE BETWEEN BATTERY ST AND WALL ST,14,0.541268418956591,
1ST AVE BETWEEN BATTERY ST AND WALL ST,15,0.550827608522501,
1ST AVE BETWEEN BATTERY ST AND WALL ST,16,0.6125211569095977,
1ST AVE BETWEEN BATTERY ST AND WALL ST,17,0.7189429012345679,
1ST AVE BETWEEN BATTERY ST AND WALL ST,18,0.7874141278375149,
1ST AVE BETWEEN BATTERY ST AND WALL ST,19,0.7615603843090402,
1ST AVE BETWEEN BELL ST AND BATTERY ST,8,0.1495939207923742,
1ST AVE BETWEEN BELL ST AND BATTERY ST,9,0.24927035330261138,
1ST AVE BETWEEN BELL ST AND BATTERY ST,10,0.3483108252261478,
1ST AVE BETWEEN BELL ST AND BATTERY ST,11,0.46797302363745674,
1ST AVE BETWEEN BELL ST AND BATTERY ST,12,0.5082341445676699,
1ST AVE BETWEEN BELL ST AND BATTERY ST,13,0.5065897550776582,
1ST AVE BETWEEN BELL ST AND BATTERY ST,14,0.5247711853558628,
1ST AVE BETWEEN BELL ST AND BATTERY ST,15,0.5198453254467406,
1ST AVE BETWEEN BELL ST AND BATTERY ST,16,0.5830458482676225,
1ST AVE BETWEEN BELL ST AND BATTERY ST,17,0.6642958482676224,
1ST AVE BETWEEN BELL ST AND BATTERY ST,18,0.7107953575695511,
1ST AVE BETWEEN BELL ST AND BATTERY ST,19,0.6738351254480287,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,8,0.047204415954415956,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,9,0.10168297950556016,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,10,0.14333375455687283,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,11,0.20242663051802837,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,12,0.2727747909199522,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,13,0.3011200716845878,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,14,0.2795216432313206,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,15,0.25742961737585396,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,16,0.30535777195723435,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,17,0.4318912171062709,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,18,0.518973631406427,
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,19,0.5183812379376895,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,8,0.044543650793650795,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,9,0.08083247687564234,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,10,0.18359027064063035,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,11,0.2157331277834875,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,12,0.25025693730729703,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,13,0.26121959575196985,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,14,0.20334874957177115,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,15,0.29290337494220986,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,16,0.45788690476190474,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,17,0.4794642857142857,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,18,0.4849206349206349,
1ST AVE BETWEEN BROAD ST AND EAGLE ST,19,0.2014559780746831,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,8,0.09949083044089674,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,9,0.18294624573425786,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,10,0.2714217443249702,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,11,0.3075218645869724,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,12,0.29831358407972114,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,13,0.3015930142666386,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,14,0.28951819470963275,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,15,0.27169736319656995,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,16,0.2694057182878095,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,17,0.3036774295709141,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,18,0.4139119764926217,
1ST AVE BETWEEN CEDAR ST AND CLAY ST,19,0.4808004778972521,
1ST AVE BETWEEN CLAY ST AND BROAD ST,8,0.18496003094378546,
1ST AVE BETWEEN CLAY ST AND BROAD ST,9,0.2661315970431494,
1ST AVE BETWEEN CLAY ST AND BROAD ST,10,0.3352007613799843,
1ST AVE BETWEEN CLAY ST AND BROAD ST,11,0.3892346785284511,
1ST AVE BETWEEN CLAY ST AND BROAD ST,12,0.3590822159188585,
1ST AVE BETWEEN CLAY ST AND BROAD ST,13,0.34953010325994194,
1ST AVE BETWEEN CLAY ST AND BROAD ST,14,0.27811341305153875,
1ST AVE BETWEEN CLAY ST AND BROAD ST,15,0.23105318740399386,
1ST AVE BETWEEN CLAY ST AND BROAD ST,16,0.2163077103601297,
1ST AVE BETWEEN CLAY ST AND BROAD ST,17,0.23508117852875918,
1ST AVE BETWEEN CLAY ST AND BROAD ST,18,0.2808788506650472,
1ST AVE BETWEEN CLAY ST AND BROAD ST,19,0.3160534100269374,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,8,0.10185185185185185,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,9,0.23753816540554892,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,10,0.43548055223682464,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,11,0.551161555821054,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,12,0.6037402097437939,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,13,0.615598035311297,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,14,0.58535112173105,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,15,0.5666799415903359,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,16,0.566056020177884,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,17,0.6515432098765432,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,18,0.7331043409000397,
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,19,0.7607925129430506,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,8,0.3819397203325775,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,9,0.4501568100358423,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,10,0.843606464887827,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,11,0.909829251294305,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,12,0.915354938271605,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,13,0.9094467675560866,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,14,0.7815835324571884,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,15,0.3444604377104377,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,16,0.9083960262345679,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,17,0.8923273533950616,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,18,0.6251526616221957,
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,19,0.8340999601752289,
1ST AVE BETWEEN VINE ST AND CEDAR ST,8,0.1111111111111111,
1ST AVE BETWEEN VINE ST AND CEDAR ST,9,0.2826098499933625,
1ST AVE BETWEEN VINE ST AND CEDAR ST,10,0.36820655781229256,
1ST AVE BETWEEN VINE ST AND CEDAR ST,11,0.4218903491304925,
1ST AVE BETWEEN VINE ST AND CEDAR ST,12,0.43221823974512147,
1ST AVE BETWEEN VINE ST AND CEDAR ST,13,0.4188437541484136,
1ST AVE BETWEEN VINE ST AND CEDAR ST,14,0.4395592725341829,
1ST AVE BETWEEN VINE ST AND CEDAR ST,15,0.47003185981680606,
1ST AVE BETWEEN VINE ST AND CEDAR ST,16,0.5261184123191291,
1ST AVE BETWEEN VINE ST AND CEDAR ST,17,0.5692088145493163,
1ST AVE BETWEEN VINE ST AND CEDAR ST,18,0.6135802469135803,
1ST AVE BETWEEN VINE ST AND CEDAR ST,19,0.5768817204301074,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,8,0.300199692780338,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,9,0.24920549581839904,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,10,0.38029399214883086,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,11,0.48796765659668884,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,12,0.5249816521590714,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,13,0.525110940433521,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,14,0.4617767537122376,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,15,0.6411846283845226,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,16,0.636094470046083,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,17,0.679968424645844,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,18,0.44555555555555554,
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,19,0.5028562894691927,
1ST AVE BETWEEN WALL ST AND VINE ST,8,0.10351929890277972,
1ST AVE BETWEEN WALL ST AND VINE ST,9,0.20845181202708085,
1ST AVE BETWEEN WALL ST AND VINE ST,10,0.3054359390112078,
1ST AVE BETWEEN WALL ST AND VINE ST,11,0.34814487682767253,
1ST AVE BETWEEN WALL ST AND VINE ST,12,0.35000441396539017,
1ST AVE BETWEEN WALL ST AND VINE ST,13,0.3652627012573249,
1ST AVE BETWEEN WALL ST AND VINE ST,14,0.3638039416444434,
1ST AVE BETWEEN WALL ST AND VINE ST,15,0.3797582500352486,
1ST AVE BETWEEN WALL ST AND VINE ST,16,0.4013927291346646,
1ST AVE BETWEEN WALL ST AND VINE ST,17,0.4416690845991921,
1ST AVE BETWEEN WALL ST AND VINE ST,18,0.5101018376287193,
1ST AVE BETWEEN WALL ST AND VINE ST,19,0.5164709563634294,
1ST AVE BETWEEN WARREN PL AND BAY ST,8,0.1166160081053698,
1ST AVE BETWEEN WARREN PL AND BAY ST,9,0.07689594356261022,
1ST AVE BETWEEN WARREN PL AND BAY ST,10,0.1567283950617284,
1ST AVE BETWEEN WARREN PL AND BAY ST,11,0.22245273109243696,
1ST AVE BETWEEN WARREN PL AND BAY ST,12,0.2432860644257703,
1ST AVE BETWEEN WARREN PL AND BAY ST,13,0.2340889123176946,
1ST AVE BETWEEN WARREN PL AND BAY ST,14,0.1879283078545071,
1ST AVE BETWEEN WARREN PL AND BAY ST,15,0.2983211233211233,
1ST AVE BETWEEN WARREN PL AND BAY ST,16,0.41111111111111115,
