block,location,time_limit,lon,lat
1ST AVE BETWEEN BATTERY ST AND WALL ST,POINT (-122.34823341 47.61449094),240,-122.34823341,47.61449094
1ST AVE BETWEEN BELL ST AND BATTERY ST,POINT (-122.34725736 47.61370956),240,-122.34725736,47.61370956
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,POINT (-122.34580282 47.61306442),120,-122.34580282,47.61306442
1ST AVE BETWEEN BROAD ST AND EAGLE ST,POINT (-122.3531291 47.61738742),240,-122.3531291,47.61738742
1ST AVE BETWEEN CEDAR ST AND CLAY ST,POINT (-122.35102833 47.61615106),240,-122.35102833,47.61615106
1ST AVE BETWEEN CLAY ST AND BROAD ST,POINT (-122.35196383 47.61671091),240,-122.35196383,47.61671091
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,POINT (-122.34466292 47.61217553),120,-122.34466292,47.61217553
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,POINT (-122.34188878 47.61073498),120,-122.34188878,47.61073498
1ST AVE BETWEEN VINE ST AND CEDAR ST,POINT (-122.35024612 47.61547721),240,-122.35024612,47.61547721
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,POINT (-122.34319932 47.61152842),120,-122.34319932,47.61152842
1ST AVE BETWEEN WALL ST AND VINE ST,POINT (-122.34916205 47.61504371),240,-122.34916205,47.61504371
1ST AVE BETWEEN WARREN PL AND BAY ST,POINT (-122.35456852 47.61823252),240,-122.35456852,47.61823252
2ND AVE BETWEEN BATTERY ST AND WALL ST,POINT (-122.34731598 47.61511789),240,-122.34731598,47.61511789
2ND AVE BETWEEN BELL ST AND BATTERY ST,POINT (-122.34618661 47.61445148),240,-122.34618661,47.61445148
2ND AVE BETWEEN BLANCHARD ST AND BELL ST,POINT (-122.34502716 47.61356031),120,-122.34502716,47.61356031
2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,POINT (-122.35215625 47.61798731),240,-122.35215625,47.61798731
2ND AVE BETWEEN CEDAR ST AND CLAY ST,POINT (-122.35027481 47.61666366),240,-122.35027481,47.61666366
2ND AVE BETWEEN CLAY ST AND BROAD ST,POINT (-122.3510874 47.61735533),240,-122.3510874,47.61735533
2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,POINT (-122.3436157 47.61293327),120,-122.3436157,47.61293327
2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,POINT (-122.34102039 47.61140567),120,-122.34102039,47.61140567
2ND AVE BETWEEN VINE ST AND CEDAR ST,POINT (-122.34921056 47.61624542),240,-122.34921056,47.61624542
2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,POINT (-122.34231893 47.61217181),120,-122.34231893,47.61217181
2ND AVE BETWEEN WALL ST AND VINE ST,POINT (-122.3484389 47.61558515),240,-122.3484389,47.61558515
3RD AVE BETWEEN BATTERY ST AND WALL ST,POINT (-122.34649132 47.61581407),240,-122.34649132,47.61581407
3RD AVE BETWEEN BELL ST AND BATTERY ST,POINT (-122.34549499 47.61500973),240,-122.34549499,47.61500973
3RD AVE BETWEEN BLANCHARD ST AND BELL ST,POINT (-122.34422675 47.61426023),120,-122.34422675,47.61426023
3RD AVE BETWEEN CEDAR ST AND CLAY ST,POINT (-122.34929965 47.61747412),240,-122.34929965,47.61747412
3RD AVE BETWEEN CLAY ST AND BROAD ST,POINT (-122.35037128 47.61790727),240,-122.35037128,47.61790727
3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,POINT (-122.34292292 47.61348569),120,-122.34292292,47.61348569
3RD AVE BETWEEN VINE ST AND CEDAR ST,POINT (-122.34849303 47.61680068),240,-122.34849303,47.61680068
3RD AVE BETWEEN WALL ST AND VINE ST,POINT (-122.34756286 47.61625081),240,-122.34756286,47.61625081
4TH AVE BETWEEN BATTERY ST AND WALL ST,POINT (-122.34561889 47.61648112),240,-122.34561889,47.61648112
4TH AVE BETWEEN BELL ST AND BATTERY ST,POINT (-122.34448656 47.61581883),240,-122.34448656,47.61581883
4TH AVE BETWEEN BLANCHARD ST AND BELL ST,POINT (-122.34320344 47.61503886),120,-122.34320344,47.61503886
